Index,Name,Meaning,Korean,Sex
936,Haldor Bergtroll,Haldor (HAL-dor) Mountain-Troll,할도르 베르그트롤,남성
937,Ingeborg Grubbedal,Ingeborg (ING-ge-borg) Mine-Valley,잉에보르그 그루베달,여성
938,Jens Steinbro,Jens (YENS) Stone-Bridge,옌스 스타인브로,남성
939,Kjersti Jernbryn,Kjersti (KHER-sti) Iron-Brow,셰르스티 예른브륀,여성
940,Lars Bergrot,Lars (LARSH) Mountain-Root,라르스 베르그로트,남성
941,Marianne Grubben,Marianne (ma-RY-an-ne) the Mine,마리안네 그루벤,여성
942,Nikolai Steinbolt,Nikolai (NEE-ko-ly) Stone-Bolt,니콜라이 스타인볼트,남성
943,Oda Malmrøyk,Oda (OH-da) Ore-Smoke,오다 말름뢰위크,여성
944,Pål Dypfjell,Pål (POHL) Deep-Mountain,폴 뒤프피엘,남성
945,Rikke Jernhånd,Rikke (RIK-ke) Iron-Hand,리케 예른호른,여성
946,Sverre Steinbrygge,Sverre (SVEH-re) Stone-Pier,스베레 스타인브뤼게,남성
947,Synnøve Bergdyp,Synnøve (SYN-nuh-ve) Mountain-Deep,쉰뇌베 베르그뒤프,여성
948,Trygve Malmfot,Trygve (TRYG-ve) Ore-Foot,트뤼그베 말름포트,남성
949,Vilde Grubbegull,Vilde (VIL-de) Mine-Gold,빌데 그루베굴,여성
950,Øyvind Jernhake,Øyvind (UY-vind) Iron-Hook,외이빈 예른하케,남성
951,Ane Steinrøys,Ane (AH-ne) Stone-Cairn,아네 스타인뢰위스,여성
952,Amund Fjellsmed,Amund (AH-mund) Mountain-Smith,아문 피엘스메드,남성
953,Bjørg Steinved,Bjørg (BYURG) Stone-Path,비외르그 스타인베드,여성
954,Dag Grunnfjell,Dag (DAHG) Ground-Mountain,다그 그룬피엘,남성
955,Eldbjørg Malmstein,Eldbjørg (ELD-byurg) Ore-Stone,엘비외르그 말름스타인,여성
956,Geir Hardklo,Geir (GAYR) Hard-Claw,게이르 하르트클로,남성
957,Helga Dypdal,Helga (HEL-ga) Deep-Valley,헬가 뒤프달,여성
958,Jon Smierøyk,Jon (YON) Forge-Smoke,욘 스미뢰위크,남성
959,Kristin Bergskjold,Kristin (KRIS-tin) Mountain-Shield,크리스틴 베르그스욜,여성
960,Lars Malmgrunn,Lars (LARSH) Ore-Ground,라르스 말름그룬,남성
961,Marit Steinbryn,Marit (MAH-rit) Stone-Brow,마리트 스타인브륀,여성
962,Nils Gråfot,Nils (NILS) Gray-Foot,닐스 그로포트,남성
963,Oda Jernskjold,Oda (OH-da) Iron-Shield,오다 예른스욜,여성
964,Per Tungemunn,Per (PEHR) Heavy-Mouth,페르 퉁게문,남성
965,Ragna Fjelltopp,Ragna (RAG-na) Mountain-Top,라그나 피엘톱,여성
966,Svein Svartberg,Svein (SVAYN) Black-Mountain,스베인 스바르트베르그,남성
967,Torhild Råfjell,Torhild (TOR-hild) Raw-Mountain,토르힐드 라피엘,여성
968,Vegard Steinby,Vegard (VEH-gard) Stone-Town,베가르드 스타인뷔,남성
969,Åshild Grubbe,Åshild (OH-shild) Mine-Pit,오쉴드 그루베,여성
970,Bjørn Dypbrønn,Bjørn (BYURN) Deep-Well,비외른 뒤프브뢴,남성
971,Brita Malmhjerte,Brita (BREE-ta) Ore-Heart,브리타 말름히에르테,여성
972,Christian Hammerslag,Christian (KRIS-tyan) Hammer-Strike,크리스티안 해머슬라그,남성
973,Elida Skjegglås,Elida (e-LEE-da) Beard-Lock,엘리다 스예그로스,여성
974,Finn Steinøye,Finn (FINN) Stone-Eye,핀 스타인외예,남성
975,Gunhild Jernkvinne,Gunhild (GOON-hild) Iron-Woman,군힐드 예른크빈네,여성
976,Haldor Bergfot,Haldor (HAL-dor) Mountain-Foot,할도르 베르그포트,남성
977,Ingeborg Grubbedal,Ingeborg (ING-ge-borg) Mine-Valley,잉에보르그 그루베달,여성
978,Jens Steinbro,Jens (YENS) Stone-Bridge,옌스 스타인브로,남성
979,Kjersti Jernbryn,Kjersti (KHER-sti) Iron-Brow,셰르스티 예른브륀,여성
980,Lars Bergrot,Lars (LARSH) Mountain-Root,라르스 베르그로트,남성
981,Marianne Grubben,Marianne (ma-RY-an-ne) the Mine,마리안네 그루벤,여성
982,Nikolai Steinbolt,Nikolai (NEE-ko-ly) Stone-Bolt,니콜라이 스타인볼트,남성
983,Oda Malmrøyk,Oda (OH-da) Ore-Smoke,오다 말름뢰위크,여성
984,Bjorn Steinhammer,Bjorn (BYURN) Stonehammer,비외른 스타인해머,남성
985,Astrid Dyphjerta,Astrid (AH-strid) Deepheart,아스트리드 뒤프히에르타,여성
986,Gunnar Malmgrunn,Gunnar (GOON-nar) Ore-Ground,군나르 말름그룬,남성
987,Freya Fjellfot,Freya (FREH-ya) Mountainfoot,프레야 피엘포트,여성
988,Håkon Bergskjold,Håkon (HO-kon) Mountain-Shield,호콘 베르그스욜,남성
989,Ingrid Malmstein,Ingrid (ING-grid) Ore-Stone,잉리드 말름스타인,여성
990,Kåre Smedjern,Kåre (KOH-re) Smith-Iron,코레 스메드예른,남성
991,Linnea Dypdal,Linnea (lin-NAY-a) Deep-Valley,린네아 뒤프달,여성
992,Marius Høgberg,Marius (MAH-ri-us) High-Mountain,마리우스 회그베르그,남성
993,Nora Gråstein,Nora (NOH-ra) Graystone,노라 그로스타인,여성
994,Olav Svartjern,Olav (OH-lav) Black-Iron,올라브 스바르트예른,남성
995,Solveig Tungfot,Solveig (SOL-vayg) Heavy-Foot,솔베이그 퉁포트,여성
996,Torvald Stålhånd,Torvald (TOR-vald) Steel-Hand,토르발드 스톨호른,남성
997,Ursa Malmås,Ursa (UR-sa) Ore-Ridge,우르사 말름오스,여성
998,Valdemar Jordfar,Valdemar (VAL-de-mar) Earth-Father,발데마르 요르드파르,남성
999,Wenche Klippefot,Wenche (VEN-ke) Cliff-Foot,벤케 클리페포트,여성
1000,Arne Grubler,Arne (AR-ne) the Grumbler,아르네 그루블레르,남성
1001,Brynhild Steinbraid,Brynhild (BRYN-hild) Stone-Braid,브륀힐드 스타인브라이드,여성
1002,Dagfinn Aksesmed,Dagfinn (DAHG-fin) Axe-Smith,다그핀 악세스메드,남성
1003,Eldbjørg Jernrygg,Eldbjørg (ELD-byurg) Iron-Back,엘비외르그 예른뤼그,여성
1004,Frode Dypfjell,Frode (FRO-de) Deep-Mountain,프로데 뒤프피엘,남성
1005,Gerd Tungemål,Gerd (GURD) Heavy-Tongue,게르드 퉁게몰,여성
1006,Halvor Berggrunn,Halvor (HAL-vor) Mountain-Ground,할보르 베르그그룬,남성
1007,Inga Bergsdatter,Inga (ING-ga) Mountain-Daughter,잉가 베르그스다테르,여성
1008,Jostein Malmrune,Jostein (YOH-stine) Ore-Rune,요스타인 말름루네,남성
1009,Kari Fjellgutt,Kari (KAH-ri) Mountain-Girl,카리 피엘굿,여성
1010,Leif Steindør,Leif (LAYF) Stone-Door,레이프 스타인되르,남성
1011,Maja Gruvebryn,Maja (MAH-ya) Mine-Brow,마야 그루베브륀,여성
1012,Oddvar Svarthjarta,Oddvar (ODD-var) Black-Heart,오드바르 스바르트히에르타,남성
1013,Ragnhild Skjoldberg,Ragnhild (RAG-nild) Shield-Mountain,라그닐드 스욜베르그,여성
1014,Sigurd Malmklo,Sigurd (SEE-gurd) Ore-Claw,시구르드 말름클로,남성
1015,Torhild Grublemor,Torhild (TOR-hild) Grumbler-Mother,토르힐드 그루블레모르,여성
1016,Ulrik Jernfot,Ulrik (OOL-rik) Iron-Foot,울리크 예른포트,남성
1017,Valborg Hammerdatter,Valborg (VAL-borg) Hammer-Daughter,발보르그 해머다테르,여성
1018,Vidar Steinøks,Vidar (VEE-dar) Stone-Axe,비다르 스타인외크스,남성
1019,Ylva Bergfot,Ylva (YOOL-va) Mountain-Foot,윌바 베르그포트,여성
1020,Arild Dypfjell,Arild (AH-rild) Deep-Mountain,아릴드 뒤프피엘,남성
1021,Bodil Malmhånd,Bodil (BOH-dil) Ore-Hand,보딜 말름호른,여성
1022,Eirik Steinbryn,Eirik (AY-rik) Stone-Brow,에이리크 스타인브륀,남성
1023,Frøya Grubestol,Frøya (FRUH-ya) Mine-Stool,프뢰야 그루베스톨,여성
1024,Gudmund Fjelltopp,Gudmund (GOOD-mund) Mountain-Top,구드문 피엘톱,남성
1025,Hildegunn Råfjell,Hildegunn (HIL-de-gunn) Raw-Mountain,힐데군 라피엘,여성
1026,Ivar Jernlås,Ivar (EE-var) Iron-Lock,이바르 예른로스,남성
1027,Johanna Dypjord,Johanna (yoh-HAH-na) Deep-Earth,요한나 뒤프요르드,여성
1028,Knut Tungelås,Knut (KNOOT) Heavy-Lock,크누트 퉁겔로스,남성
1029,Liv Malmrose,Liv (LEEV) Ore-Rose,리브 말름로세,여성
1030,Magne Hammerslag,Magne (MAHG-ne) Hammer-Strike,마그네 해머슬라그,남성
1031,Solveig Skjeggdatter,Solveig (SOL-vayg) Beard-Daughter,솔베이그 스예그다테르,여성
1032,Torbjørn Steinved,Torbjørn (TOR-byurn) Stone-Path,토르비외른 스타인베드,남성
1033,Unni Grubbe,Unni (OON-ni) Mine-Pit,운니 그루베,여성
1034,Vegard Fjellsmed,Vegard (VEH-gard) Mountain-Smith,베가르드 피엘스메드,남성
1035,Åsa Bergsrygg,Åsa (OH-sa) Mountain-Back,오사 베르그스뤼그,여성
1036,Alf Steinvegg,Alf (ALF) Stone-Wall,알프 스타인베그,남성
1037,Benedikte Jordmor,Benedikte (be-ne-DIK-te) Earth-Mother,베네딕테 요르드모르,여성
1038,Christian Gråklang,Christian (KRIS-tyan) Gray-Sound,크리스티안 그로클랑,남성
1039,Dagny Malmklang,Dagny (DAHG-ni) Ore-Sound,다그니 말름클랑,여성
1040,Einar Bergtroll,Einar (AY-nar) Mountain-Troll,에이나르 베르그트롤,남성
1041,Fredrik Jernmur,Fredrik (FREH-drik) Iron-Wall,프레드리크 예른무르,남성
1042,Guro Steinrøyk,Guro (GOO-ro) Stone-Smoke,구로 스타인뢰위크,여성
1043,Harald Dypbrønn,Harald (HAH-rald) Deep-Well,하랄드 뒤프브뢴,남성
1044,Ingvild Malmheim,Ingvild (ING-vild) Ore-Home,잉빌드 말름하임,여성
1045,Jonas Fjellkappe,Jonas (YOH-nas) Mountain-Cape,요나스 피엘카페,남성
1046,Kamilla Grubefot,Kamilla (ka-MIL-la) Mine-Foot,카밀라 그루베포트,여성
1047,Lasse Hammerbånd,Lasse (LAH-se) Hammer-Band,라세 해머본,남성
1048,Mona Bergsdatter,Mona (MOH-na) Mountain-Daughter,모나 베르그스다테르,여성
1049,Nils Steinbryter,Nils (NILS) Stone-Breaker,닐스 스타인브뤼테르,남성
1050,Oddlaug Jernhjarta,Oddlaug (ODD-laug) Iron-Heart,오들라우그 예른히에르타,여성
1051,Petter Malmsmie,Petter (PET-ter) Ore-Forge,페테르 말름스미,남성
1052,Randi Grubbekvinne,Randi (RAN-di) Mine-Woman,란디 그루베크빈네,여성
1053,Sjur Fjellheim,Sjur (SHUR) Mountain-Home,슈르 피엘하임,남성
1054,Tove Steinmur,Tove (TOH-ve) Stone-Wall,토베 스타인무르,여성
1055,Åge Bergvokter,Åge (OH-ge) Mountain-Guardian,오게 베르그복테르,남성
1056,Brita Malmstolpe,Brita (BREE-ta) Ore-Pillar,브리타 말름스톨페,여성
1057,Christoffer Dypklang,Christoffer (kris-TOF-fer) Deep-Sound,크리스토페르 뒤프클랑,남성
1058,Elida Steinfall,Elida (e-LEE-da) Stone-Fall,엘리다 스타인팔,여성
1059,Finn Jernklang,Finn (FINN) Iron-Sound,핀 예른클랑,남성
1060,Gunhild Malmås,Gunhild (GOON-hild) Ore-Ridge,군힐드 말름오스,여성
1061,Haldor Bergflate,Haldor (HAL-dor) Mountain-Plateau,할도르 베르그플라테,남성
1062,Ingeborg Grubbedal,Ingeborg (ING-ge-borg) Mine-Valley,잉에보르그 그루베달,여성
1063,Jens Steinløft,Jens (YENS) Stone-Lift,옌스 스타인뢰프트,남성
1064,Kjersti Jernbryn,Kjersti (KHER-sti) Iron-Brow,셰르스티 예른브륀,여성
1065,Lars Bergrot,Lars (LARSH) Mountain-Root,라르스 베르그로트,남성
1066,Marianne Grubben,Marianne (ma-RY-an-ne) the Mine,마리안네 그루벤,여성
1067,Nikolai Steinbolt,Nikolai (NEE-ko-ly) Stone-Bolt,니콜라이 스타인볼트,남성
1068,Oda Malmrøyk,Oda (OH-da) Ore-Smoke,오다 말름뢰위크,여성
1069,Pål Dypfjell,Pål (POHL) Deep-Mountain,폴 뒤프피엘,남성
1070,Rikke Jernhånd,Rikke (RIK-ke) Iron-Hand,리케 예른호른,여성
1071,Sverre Steinbrygge,Sverre (SVEH-re) Stone-Bridge,스베레 스타인브뤼게,남성
1072,Synnøve Bergdyp,Synnøve (SYN-nuh-ve) Mountain-Deep,쉰뇌베 베르그뒤프,여성
1073,Trygve Malmfot,Trygve (TRYG-ve) Ore-Foot,트뤼그베 말름포트,남g
1074,Vilde Grubbegull,Vilde (VIL-de) Mine-Gold,빌데 그루베굴,여성
1075,Øyvind Jernhake,Øyvind (UY-vind) Iron-Hook,외이빈 예른하케,남성
1076,Ane Steinrøys,Ane (AH-ne) Stone-Cairn,아네 스타인뢰위스,여성
1077,Ryszard Skarbnicki,Ryszard (RI-shart) of the Treasury,리샤르트 스카르브니츠키,남성
1078,Elżbieta Ziemiańska,Elżbieta (elzh-BYEH-ta) of the Earth,엘주비에타 지에미안스카,여성
1079,Wojtek Kamienisty,Wojtek (VOY-tek) the Stony,보이테크 카미에니스티,남성
1080,Danuta Dębowa,Danuta (da-NOO-ta) Oaken,다누타 뎀보바,여성
1081,Zenon Głazowski,Zenon (ZEH-non) of the Boulder,제논 그와조프스키,남성
1082,Joanna Jaskiniowa,Joanna (yoh-AHN-na) of the Cave,요안나 야스키니오바,여성
1083,Adam Kowalski,Adam (AH-dam) the Smith,아담 코발스키,남성
1084,Barbara Rudy,Barbara (BAR-ba-ra) the Rusty,바르바라 루디,여성
1085,Bolesław Grzmot,Bolesław (bo-LEH-swaf) Thunder,볼레스와프 그슈모트,남성
1086,Celina Miedziana,Celina (tse-LEE-na) Copper,첼리나 미에지아나,여성
1087,Cezary Kruszec,Cezary (tse-ZAH-ry) Ore,체자리 크루셰츠,남성
1088,Dorota Górnikowa,Dorota (do-ROH-ta) Miner's Wife,도로타 구르니코바,여성
1089,Franciszek Łom,Franciszek (fran-CHEE-shek) Crowbar,프란치셰크 웜,남성
1090,Genowefa Pieczara,Genowefa (geh-no-VEH-fa) of the Cave,게노베파 피에차라,여성
1091,Henryk Podziemny,Henryk (HEN-rik) Underground,헨리크 포지에미니,남성
1092,Irena Kamienista,Irena (ee-RE-na) Stony,이레나 카미에니스타,여성
1093,Jan Łup,Jan (YAHN) Loot/Spoils,얀 우프,남성
1094,Krystyna Skała,Krystyna (kris-TI-na) Rock,크리스티나 스카와,여성
1095,Lech Żelazo,Lech (LEKH) Iron,레흐 젤라조,남성
1096,Marta Grunt,Marta (MAR-ta) Ground,마르타 그룬트,여성
1097,Mateusz Kopacz,Mateusz (ma-TEH-oosh) Digger,마테우시 코파치,남성
1098,Natalia Rudna,Natalia (na-TAHL-ya) Orey,나탈리아 루드나,여성
1099,Nikodem Złoty,Nikodem (nee-KOH-dem) Golden,니코뎀 즈워티,남성
1100,Oliwia Kopalina,Oliwia (o-LIV-ya) Mineral,올리비아 코팔리나,여성
1101,Patryk Bryłowski,Patryk (PA-trik) of the Lump/Boulder,파트리크 브리워프스키,남성
1102,Renata Pieprzna,Renata (re-NAH-ta) Peppery,레나타 피에프르즈나,여성
1103,Seweryn Młotek,Seweryn (se-VE-rin) Small Hammer,세베린 므워테크,남성
1104,Sylwia Skałka,Sylwia (SIL-vya) Small Rock,실비아 스카우카,여성
1105,Tadeusz Kuźnik,Tadeusz (ta-DEH-oosh) Blacksmith,타데우시 쿠즈니크,남성
1106,Urszula Węglowa,Urszula (oor-SHOO-la) Coal,우르슐라 벵글로바,여성
1107,Wiktor Kopalny,Wiktor (VIK-tor) Miner's,빅토르 코팔니,남성
1108,Zuzanna Jaskiniowa,Zuzanna (zoo-ZAHN-na) of the Cave,주잔나 야스키니오바,여성
1109,Arkadiusz Stalowy,Arkadiusz (ar-KAH-dyoosh) Steel-Like,아르카디우시 스탈로비,남성
1110,Bogumiła Brylant,Bogumiła (bo-goo-MEE-wa) Diamond,보구미와 브릴란트,여성
1111,Czesław Dziura,Czesław (CHES-swav) Hole/Pit,체스와프 지우라,남성
1112,Danuta Skałowska,Danuta (da-NOO-ta) Rocky,다누타 스카워프스카,여성
1113,Eligiusz Gród,Eligiusz (e-LEE-gyoosh) Fort/Stronghold,엘리기우시 그루트,남성
1114,Filomena Żwirowa,Filomena (fee-lo-MEH-na) Gravelly,필로메나 즈비로바,여성
1115,Grzegorz Grzmiący,Grzegorz (GZHE-gosh) Thundering,그제고시 그슈미옹치,남성
1116,Helena Kamieńska,Helena (he-LEH-na) Stony,헬레나 카미엔스카,여성
1117,Ignacy Dębczak,Ignacy (eeg-NAH-tsy) Oak-Young,이그나치 뎀브차크,남성
1118,Jadwiga Pieczara,Jadwiga (yad-VEE-ga) of the Cave,야드비가 피에차라,여성
1119,Kazimierz Złotnicki,Kazimierz (ka-ZHEE-myesh) Goldsmith,카지미에시 즈워트니츠키,남성
1120,Lucyna Rudnik,Lucyna (loo-TSEE-na) Ore Mine,루치나 루드니크,여성
1121,Marek Młot,Marek (MAH-rek) Hammer,마레크 므워트,남성
1122,Maria Skalica,Maria (MAH-rya) Rock-Cliff,마리아 스칼리차,여성
1123,Marian Węglarz,Marian (MAH-ryan) Collier/Coalman,마리안 벵글라시,남성
1124,Monika Piecuch,Monika (mo-NEE-ka) Furnace-Woman,모니카 피에추흐,여성
1125,Norbert Kopal,Norbert (NOR-bert) Miner,노르베르트 코팔,남성
1126,Olga Rudy,Olga (OL-ga) Rusty,올가 루디,여성
1127,Paweł Grzmot,Paweł (PAH-vel) Thunder,파베우 그슈모트,남성
1128,Renata Żelazo,Renata (re-NAH-ta) Iron,레나타 젤라조,여성
1129,Stanisław Skała,Stanisław (sta-NEE-swaf) Rock,스타니스와프 스카와,남성
1130,Weronika Grunt,Weronika (ve-ro-NEE-ka) Ground,베로니카 그룬트,여성
1131,Zbigniew Kopacz,Zbigniew (ZBIG-nyev) Digger,즈비그니에프 코파치,남성
1132,Zofia Podziemna,Zofia (ZOH-fya) Underground,조피아 포지에미나,여성
1133,Bogdan Waligóra,Bogdan (BOG-dan) Mountain-Roller,보그단 발리고라,남성
1134,Julia Ciemna,Julia (YOO-lya) the Dark,율리아 치엠나,여성
1135,Czesław Mocarz,Czesław (CHES-swav) Mighty-Man,체스와프 모차시,남성
1136,Urszula Wędrowna,Urszula (oor-SHOO-la) the Wanderer,우르슐라 벤드로브나,여성
1137,Dariusz Kamieniarz,Dariusz (DAH-ryoosh) Stone-Worker,다리우시 카미에니아시,남성
1138,Ewa Wiercik,Ewa (EH-va) the Driller,에바 비에르치크,여성
1139,Lech Kruszec,Lech (LEKH) Ore,레흐 크루셰츠,남성
1140,Małgorzata Pieprzna,Małgorzata (mah-goh-ZHA-ta) Peppery,마우고르자타 피에프르즈나,여성
1141,Mikołaj Łomnicki,Mikołaj (mee-KOH-wy) Pick-Axe,미코와이 워미니츠키,남성
1142,Natalia Grotowa,Natalia (na-TAHL-ya) of the Grotto,나탈리아 그로토바,여성
1143,Olgierd Omszały,Olgierd (OL-gyerd) Mossy,올기엘트 옴샤위,남성
1144,Patrycja Czerwiec,Patrycja (pa-TRIT-sya) June (red),파트리차 체르비에츠,여성
1145,Radosław Twardowski,Radosław (ra-DOH-swaf) the Hard,라도스와프 트바르도프스키,남성
1146,Renata Żwirowa,Renata (re-NAH-ta) Gravelly,레나타 즈비로바,여성
1147,Szymon Błyskawica,Szymon (SHI-mon) Lightning,시몬 브위스카비차,남성
1148,Stefania Skała,Stefania (ste-FAH-nya) Rock,스테파니아 스카와,여성
1149,Tadeusz Głębinowski,Tadeusz (ta-DEH-oosh) Deep-Dweller,타데우시 그웽비노프스키,남성
1150,Weronika Bryła,Weronika (ve-ro-NEE-ka) Lump,베로니카 브리화,여성
1151,Wojciech Młot,Wojciech (VOY-chekh) Hammer,보이치에흐 므워트,남성
1152,Zuzanna Kamyk,Zuzanna (zoo-ZAHN-na) Pebble,주잔나 카미크,여성
1153,Antoni Stal,Antoni (an-TO-nee) Steel,안토니 스탈,남성
1154,Dominika Kopalina,Dominika (do-mee-NEE-ka) Mineral,도미니카 코팔리나,여성
1155,Feliks Cios,Feliks (FEH-leeks) Hewn,펠릭스 치오스,남성
1156,Gabriela Pancerz,Gabriela (ga-BRYE-la) Armor,가브리엘라 판체시,여성
1157,Ignacy Kamień,Ignacy (eeg-NAH-tsy) Stone,이그나치 카미엔,남성
1158,Joanna Kruszyna,Joanna (yoh-AHN-na) Crumb,요안나 크루시나,여성
1159,Krzysztof Gród,Krzysztof (KZHISH-tof) Fort,크시슈토프 그루트,남성
1160,Lidia Podziemna,Lidia (LEE-dya) Underground,리디아 포지에미나,여성
1161,Marian Złoty,Marian (MAH-ryan) Golden,마리안 즈워티,남성
1162,Monika Żelazo,Monika (mo-NEE-ka) Iron,모니카 젤라조,여성
1163,Bronisław Kowal,Bronisław (bron-ee-SWAV) the Smith,브로니스와프 코발,남성
1164,Zofia Kamieńska,Zofia (ZOH-fya) Stone,조피아 카미엔스카,여성
1165,Kazimierz Młotnicki,Kazimierz (ka-ZHEE-myesh) Hammer,카지미에시 므워트니츠키,남성
1166,Wanda Skalna,Wanda (VAHN-da) of the Rock,반다 스칼나,여성
1167,Stanisław Głębokowski,Stanisław (sta-NEE-swaf) Deep,스타니스와프 그웽보코프스키,남성
1168,Halina Górska,Halina (ha-LEE-na) of the Mountain,할리나 구르스카,여성
1169,Marek Kopalewski,Marek (MAH-rek) the Miner,마레크 코팔레프스키,남성
1170,Izabela Rudzka,Izabela (ee-za-BEL-a) of the Ore,이자벨라 루츠카,여성
1171,Józef Kucieński,Józef (YOO-zef) the Forger,유제프 쿠치엔스키,남성
1172,Ewa Podziemna,Ewa (EH-va) of the Underworld,에바 포지에미나,여성
1173,Piotr Dębowy,Piotr (PYOTR) Oaken,표트르 뎀보비,남성
1174,Agnieszka Pieczara,Agnieszka (ag-NYESH-ka) of the Cave,아그니에슈카 피에차라,여성
1175,Andrzej Stalmach,Andrzej (AHN-djay) Iron-Soul,안제이 스탈마흐,남성
1176,Lucyna Bryłowa,Lucyna (loo-TSEE-na) of the Boulder,루치나 브리워바,여성
1177,Grzegorz Grzmiący,Grzegorz (GZHE-gosh) the Thundering,그제고시 그슈미옹치,남성
1178,Danuta Skałowa,Danuta (da-NOO-ta) Rocky,다누타 스카워바,여성
1179,Paweł Kuźnik,Paweł (PAH-vel) the Blacksmith,파베우 쿠즈니크,남성
1180,Katarzyna Złotnica,Katarzyna (ka-ta-ZHI-na) Goldsmith,카타지나 즈워트니차,여성
1181,Janusz Drobnik,Janusz (YAH-noosh) Small-Hand,야누시 드로브니크,남성
1182,Wiktoria Żelazna,Wiktoria (vik-TO-rya) Iron,빅토리아 젤라즈나,여성
1183,Bogdan Waligóra,Bogdan (BOG-dan) Mountain-Roller,보그단 발리고라,남성
1184,Julia Ciemna,Julia (YOO-lya) the Dark,율리아 치엠나,여성
1185,Czesław Mocarz,Czesław (CHES-swav) Mighty-Man,체스와프 모차시,남성
1186,Urszula Wędrowna,Urszula (oor-SHOO-la) the Wanderer,우르슐라 벤드로브나,여성
1187,Dariusz Kamieniarz,Dariusz (DAH-ryoosh) Stone-Worker,다리우시 카미에니아시,남성
1188,Ewa Wiercik,Ewa (EH-va) the Driller,에바 비에르치크,여성
1189,Lech Kruszec,Lech (LEKH) Ore,레흐 크루셰츠,남성
1190,Małgorzata Pieprzna,Małgorzata (mah-goh-ZHA-ta) Peppery,마우고르자타 피에프르즈나,여성
1191,Mikołaj Łomnicki,Mikołaj (mee-KOH-wy) Pick-Axe,미코와이 워미니츠키,남성
1192,Natalia Grotowa,Natalia (na-TAHL-ya) of the Grotto,나탈리아 그로토바,여성
1193,Olgierd Omszały,Olgierd (OL-gyerd) Mossy,올기엘트 옴샤위,남성
1194,Patrycja Czerwiec,Patrycja (pa-TRIT-sya) June (like the red color of ore),파트리차 체르비에츠,여성
1195,Radosław Twardowski,Radosław (ra-DOH-swaf) the Hard,라도스와프 트바르도프스키,남성
1196,Renata Żwirowa,Renata (re-NAH-ta) Gravelly,레나타 즈비로바,여성
1197,Szymon Błyskawica,Szymon (SHI-mon) Lightning,시몬 브위스카비차,남성
1198,Stefania Skała,Stefania (ste-FAH-nya) Rock,스테파니아 스카와,여성
1199,Tadeusz Głębinowski,Tadeusz (ta-DEH-oosh) Deep-Dweller,타데우시 그웽비노프스키,남성
1200,Weronika Bryła,Weronika (ve-ro-NEE-ka) Lump,베로니카 브리화,여성
1201,Wojciech Młot,Wojciech (VOY-chekh) Hammer,보이치에흐 므워트,남성
1202,Zuzanna Kamyk,Zuzanna (zoo-ZAHN-na) Pebble,주잔나 카미크,여성
1203,Antoni Stal,Antoni (an-TO-nee) Steel,안토니 스탈,남성
1204,Dominika Kopalina,Dominika (do-mee-NEE-ka) Mineral,도미니카 코팔리나,여성
1205,Feliks Cios,Feliks (FEH-leeks) Hewn,펠릭스 치오스,남성
1206,Gabriela Pancerz,Gabriela (ga-BRYE-la) Armor,가브리엘라 판체시,여성
1207,Ignacy Kamień,Ignacy (eeg-NAH-tsy) Stone,이그나치 카미엔,남성
1208,Joanna Kruszyna,Joanna (yoh-AHN-na) Crumb (small piece of rock),요안나 크루시나,여성
1209,Krzysztof Gród,Krzysztof (KZHISH-tof) Fort,크시슈토프 그루트,남성
1210,Lidia Podziemna,Lidia (LEE-dya) Underground,리디아 포지에미나,여성
1211,Marian Złoty,Marian (MAH-ryan) Golden,마리안 즈워티,남성
1212,Monika Żelazo,Monika (mo-NEE-ka) Iron,모니카 젤라조,여성
1213,Norbert Kuźma,Norbert (NOR-bert) Forge-Man,노르베르트 쿠즈마,남성
1214,Olga Brylant,Olga (OL-ga) Diamond,올가 브릴란트,여성
1215,Rafał Łup,Rafał (RAH-faw) Booty/Loot,라파우 우프,남성
1216,Sylwia Skała,Sylwia (SIL-vya) Rock,실비아 스카와,여성
1217,Tomasz Kamień,Tomasz (TOH-mash) Stone,토마시 카미엔,남성
1218,Wiktoria Grunt,Wiktoria (vik-TO-rya) Ground,빅토리아 그룬트,여성
1219,Zbigniew Kopacz,Zbigniew (ZBIG-nyev) Digger,즈비그니에프 코파치,남성
1220,Aleksandra Rudna,Aleksandra (a-lek-SAHN-dra) Orey,알렉산드라 루드나,여성
1221,Bolesław Grot,Bolesław (bo-LEH-swav) Grotto,볼레스와프 그로트,남성
1222,Celina Złota,Celina (tse-LEE-na) Golden,첼리나 즈워타,여성
1223,Damian Stalowy,Damian (DAH-myan) Steel-Like,다미안 스탈로비,남성
1224,Dominika Skałka,Dominika (do-mee-NEE-ka) Small Rock,도미니카 스카우카,여성
1225,Edward Górnik,Edward (ED-vart) Miner,에드바르트 구르니크,남성
1226,Feliksyna Kruszcowa,Feliksyna (fe-leek-SY-na) of the Ore,펠릭시나 크루슈초바,여성
1227,Gustaw Łom,Gustaw (GOOS-tav) Crowbar,구스타프 웜,남성
1228,Honorata Kopalnia,Honorata (ho-no-RAH-ta) of the Mine,호노라타 코팔니아,여성
1229,Igor Głębia,Igor (EE-gor) Depth,이고르 그웽비아,남성
1230,Kinga Skałka,Kinga (KEEN-ga) Small Rock,킨가 스카우카,여성
1231,Leopold Złotousty,Leopold (LEH-o-pold) Golden-Mouthed,레오폴트 즈워토우스티,남성
